Time (s),Voltage,Current
0,25.303969387755128,31.202000000000076
60,25.343131313131362,31.20200000000008
120,25.35277551020413,31.201306122448994
180,25.36122222222225,31.20100000000002
240,25.37875757575759,31.20100000000002
300,25.400464646464634,31.200929292929295
360,25.4248585858586,31.200757575757567
420,25.448909090909076,31.200050505050463
480,25.471585858585854,31.19999999999996
540,25.49521212121213,31.19999999999996
600,25.520484848484852,31.19999999999996
660,25.545090909090916,31.19999999999996
720,25.568642857142866,31.19999999999996
780,25.593878787878776,31.199989898989863
840,25.619060606060618,31.199949494949465
900,25.642959595959592,31.199676767676767
960,25.668234693877558,31.199500000000036
1020,25.693747474747493,31.199383838383838
1080,25.718353535353533,31.19935353535357
1140,25.74338775510206,31.199102040816353
1200,25.768879999999996,31.19906000000003
1260,25.79236734693879,31.199020408163303
1320,25.8150707070707,31.19900000000004
1380,25.84015151515152,31.199040404040435
1440,25.864111111111097,31.19903030303034
1500,25.888581632653054,31.199030612244933
1560,25.913020202020167,31.199020202020243
1620,25.93618181818183,31.19900000000004
1680,25.959683673469378,31.19900000000004
1740,25.98293000000001,31.19900000000004
1800,26.008999999999997,31.199091836734727
1860,26.03146464646465,31.19905050505054
1920,26.055050505050488,31.19901010101014
1980,26.07773737373736,31.19900000000004
2040,26.102969696969687,31.19900000000004
2100,26.126383838383866,31.19901010101014
2160,26.149418367346954,31.19900000000004
2220,26.17281818181819,31.19900000000004
2280,26.19628282828284,31.19900000000004
2340,26.220585858585853,31.19901010101014
2400,26.243112244897958,31.19900000000004
2460,26.26580808080808,31.19900000000004
2520,26.287836734693855,31.19900000000004
2580,26.312595959595946,31.19900000000004
2640,26.33506,31.19900000000004
2700,26.359112244897972,31.19901020408167
2760,26.38261616161617,31.19900000000004
2820,26.405131313131324,31.19900000000004
2880,26.427919191919187,31.19900000000004
2940,26.45132323232322,31.19900000000004
3000,26.473387755102078,31.19900000000004
3060,26.496848484848485,31.19900000000004
3120,26.52058585858584,31.19900000000004
3180,26.54316161616163,31.19900000000004
3240,26.566474747474725,31.19900000000004
3300,26.588787878787873,31.19900000000004
3360,26.612393939393936,31.19900000000004
3420,26.63546464646464,31.19900000000004
3480,26.660204081632646,31.19900000000004
3540,26.683039999999995,31.19900000000004
3600,26.706616161616175,31.19900000000004
3660,26.72907142857142,31.19900000000004
3720,26.752676767676785,31.19900000000004
3780,26.77492929292929,31.19900000000004
3840,26.798418367346947,31.19900000000004
3900,26.822252525252537,31.19900000000004
3960,26.844888888888896,31.19900000000004
4020,26.868525252525266,31.19900000000004
4080,26.89321212121212,31.19900000000004
4140,26.916808080808085,31.19900000000004
4200,26.940808080808093,31.19900000000004
4260,26.964929292929295,31.19900000000004
4320,26.98752040816325,31.19900000000004
4380,27.01132323232323,31.19900000000004
4440,27.03653535353533,31.19900000000004
4500,27.061020202020227,31.19900000000004
4560,27.08505050505051,31.19900000000004
4620,27.109010101010114,31.19900000000004
4680,27.133656565656555,31.19900000000004
4740,27.15805102040817,31.19900000000004
4800,27.18442424242424,31.19900000000004
4860,27.209717171717156,31.19900000000004
4920,27.23383838383837,31.19900000000004
4980,27.25788888888887,31.19900000000004
5040,27.28502020202018,31.19900000000004
5100,27.310484848484847,31.19900000000004
5160,27.334303030303033,31.19900000000004
5220,27.36069696969696,31.19900000000004
5280,27.386909090909107,31.19900000000004
5340,27.412489795918358,31.19900000000004
5400,27.4390202020202,31.19900000000004
5460,27.466353535353544,31.19900000000004
5520,27.49267000000001,31.19900000000004
5580,27.518373737373746,31.19900000000004
5640,27.54523232323231,31.19900000000004
5700,27.572424242424237,31.19900000000004
5760,27.60186999999999,31.19900000000004
5820,27.6288080808081,31.19900000000004
5880,27.657080808080806,31.19900000000004
5940,27.68567676767678,31.19900000000004
6000,27.713838383838375,31.19900000000004
6060,27.743111111111123,31.19900000000004
6120,27.772323232323238,31.19900000000004
6180,27.800535353535363,31.19900000000004
6240,27.831858585858576,31.19900000000004
6300,27.85998000000001,31.19900000000004
6360,27.89001010101008,31.19900000000004
6420,27.919727272727272,31.19900000000004
6480,27.950727272727267,31.19900000000004
6540,27.983303030303038,31.19900000000004
6600,28.014868686868674,31.19900000000004
6660,28.048670000000026,31.19900000000004
6720,28.078979797979798,31.19900000000004
6780,28.11231999999999,31.19900000000004
6840,28.147585858585867,31.19900000000004
6900,28.18212,31.19900000000004
6960,28.217510204081634,31.19900000000004
7020,28.253759999999993,31.19900000000004
7080,28.288909090909094,31.19900000000004
7140,28.32619191919192,31.19900000000004
7200,28.36422,31.19900000000004
7260,28.40458585858586,31.19898989898994
7320,28.44585,31.19899000000004
7380,28.002629591836723,21.649106122449
7440,24.52677474747473,-31.193596969697005
7500,24.414292929292923,-31.19318282828283
7560,24.38543199999999,-31.19369800000006
7620,24.353045454545455,-31.20016060606062
7680,24.31057575757577,-31.206022222222238
7740,24.264716161616164,-31.209188888888892
7800,24.228026000000003,-31.210749999999976
7860,24.19204242424242,-31.21204848484851
7920,24.150458585858576,-31.212500000000023
7980,24.113750999999997,-31.212377000000025
8040,24.075468686868685,-31.212412121212154
8100,24.039663636363628,-31.21290000000005
8160,24.002862999999998,-31.213169000000047
8220,23.965860204081633,-31.213377551020464
8280,23.92995700000001,-31.213213000000042
8340,23.895797979797976,-31.21327777777783
8400,23.862815151515157,-31.213122222222268
8460,23.825596969696967,-31.213066666666702
8520,23.789864646464643,-31.213344444444495
8580,23.756364999999995,-31.213455000000053
8640,23.721716161616158,-31.213233333333395
8700,23.688184,-31.213103000000064
8760,23.656369696969694,-31.2133444444445
